run_id,ticker,strategy_id,block_label,lookback_days,cadence_run,share_count,max_concurrent,data_source,fill_model,data_window_start,data_window_end,cadence_leg,chain_id,chain_position,is_initial_entry,leg_index_in_chain,entry_date,spot_at_entry,strike,expiry_date,dte_at_entry,distance_pct_otm,mid_entry,premium_collected_per_contract,iv_at_entry,delta_at_entry,ann_yield_pct,regime_at_entry,close_date,buyback_mid,expiry_close,outcome,exit_type,days_held,pnl_dollar,pnl_per_share,is_winning,capped_upside_dollar,is_assignment_severe
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,57594e0fbb4a,0,TRUE,0,2023-02-15,413.98,428.00,2023-03-24,37,3.387,3.1850,318.50,14.17,0.2700,7.59,CAUTION,2023-02-17,1.4850,,closed_early_50pct,early,2,170.00,1.7000,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,0a7b822c77fc,0,TRUE,0,2023-04-06,409.19,424.00,2023-05-12,36,3.619,2.7750,277.50,14.17,0.2515,6.88,SELL PREMIUM,2023-04-21,1.2600,,closed_early_50pct,early,15,151.50,1.5150,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,844c93d4a816,0,TRUE,0,2023-04-06,409.19,424.00,2023-05-12,36,3.619,2.7750,277.50,14.17,0.2515,6.88,SELL PREMIUM,2023-04-21,1.2600,,closed_early_50pct,early,15,151.50,1.5150,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,9c42658b24d3,0,TRUE,0,2023-04-21,412.20,423.00,2023-05-26,35,2.620,2.8700,287.00,12.22,0.2938,7.26,SELL PREMIUM,2023-04-26,0.9650,,closed_early_50pct,early,5,190.50,1.9050,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,100a3850185e,0,TRUE,0,2023-04-21,412.20,423.00,2023-05-26,35,2.620,2.8700,287.00,12.22,0.2938,7.26,SELL PREMIUM,2023-04-26,0.9650,,closed_early_50pct,early,5,190.50,1.9050,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,28ee9a51d2c7,0,TRUE,0,2023-04-28,415.93,426.00,2023-06-02,35,2.421,2.8100,281.00,11.24,0.2957,7.05,SELL PREMIUM,2023-05-03,1.0800,,closed_early_50pct,early,5,173.00,1.7300,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,d4aaca8edaf4,0,TRUE,0,2023-04-28,415.93,426.00,2023-06-02,35,2.421,2.8100,281.00,11.24,0.2957,7.05,SELL PREMIUM,2023-05-03,1.0800,,closed_early_50pct,early,5,173.00,1.7300,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,cc69f2a71c85,0,TRUE,0,2023-05-05,412.63,424.00,2023-06-09,35,2.755,2.5850,258.50,12.22,0.2841,6.53,SELL PREMIUM,2023-05-12,1.2850,,closed_early_50pct,early,7,130.00,1.3000,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,033596b69aba,0,TRUE,0,2023-05-05,412.63,424.00,2023-06-09,35,2.755,2.5850,258.50,12.22,0.2841,6.53,SELL PREMIUM,2023-05-12,1.2850,,closed_early_50pct,early,7,130.00,1.3000,TRUE,0.00,FALSE
SPY:conservative:1075:both:s100:20260426T145555:6bb1bb,SPY,conservative,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,e05575c2c1b1,0,TRUE,0,2023-05-12,411.59,422.00,2023-06-16,35,2.529,2.7050,270.50,11.24,0.2877,6.85,SELL PREMIUM,2023-05-26,5.1800,,rolled_at_21_dte,early,14,-247.50,-2.4750,FALSE,0.00,FALSE
